time	geo	champ	r	rb
2014-01-01	ES	mdhfi	0.062150659926164614	0.06683126677975737
2014-01-01	ES	mdhi	0.06638671437487753	0.07651717606266363
2014-01-01	ES	mdhifi	0.06605703945330564	0.07454548009362881
2014-01-01	ES	mdhim	0.06840009536712188	0.07704926251939566
2014-01-01	ES	mdhimfi	0.05614279265932248	0.06335723591646397
2014-01-01	ES	tb	0.05948706314183362	0.06420229520314247
2014-01-01	NL	md	0.054063793937630826	0.06432653178981411
2014-01-01	NL	mdhfi	0.03963230511043528	0.046779758331550764
2014-01-01	NL	mdhi	0.12820965129793402	0.15323177181662206
2014-01-01	NL	mdhifi	0.09687353089617033	0.11504134272814587
2014-01-01	NL	mdhim	0.1013377815596443	0.1196860154218793
2014-01-01	NL	mdhimfi	0.06969501564267867	0.08276572668324046
2014-01-01	NL	tb	0.04446613279244857	0.052527248255812814
2014-01-01	BE	md	0.031407546914268406	0.042726030622470663
2014-01-01	BE	mdhfi	0.028591337073868066	0.037069253043932486
2014-01-01	BE	mdhi	0.041346755404747	0.06522583638466614
2014-01-01	BE	mdhifi	0.035863258375714496	0.05438182565474492
2014-01-01	BE	mdhim	0.04532647468274075	0.06669165575443332
2014-01-01	BE	mdhimfi	0.031862257193959694	0.048314843496259356
2014-01-01	BE	tb	0.033321469339265566	0.043478680066836535
2013-01-01	DE	md	0.045176144800875985	0.05367559381929892
2013-01-01	DE	mdhfi	0.04359448629797056	0.05104972259888364
2013-01-01	DE	mdhi	0.07742803107747286	0.10001003907736798
2013-01-01	DE	mdhifi	0.07474455904359273	0.09518536560958174
2013-01-01	DE	mdhim	0.07673623569193987	0.09377706871140717
2013-01-01	DE	mdhimfi	0.055703132883143665	0.07093657567755302
2013-01-01	DE	tb	0.04815509192940298	0.0554079245206455
2013-01-01	FR	md	0.030939655587341314	0.039957248063222726
2013-01-01	FR	mdhfi	0.0313969994204846	0.03838934124593066
2013-01-01	FR	mdhi	0.036082876312884225	0.07127887678333451
2013-01-01	FR	mdhifi	0.0382434166393368	0.06671275186278397
2013-01-01	FR	mdhim	0.031829078319756086	0.051457351067287146
2013-01-01	FR	mdhimfi	0.020794033298486888	0.03627362054889036
2013-01-01	FR	tb	0.033942067989425805	0.04168927993406817
2013-01-01	IT	md	0.041547021949950226	0.04942736466312599
2013-01-01	IT	mdhfi	0.038168679973594105	0.04488436426502985
2013-01-01	IT	mdhi	0.051880832112949665	0.07078408974043728
2013-01-01	IT	mdhifi	0.043995938007016865	0.06047229851639501
2013-01-01	IT	mdhim	0.052781965914421164	0.06818714441154926
2013-01-01	IT	mdhimfi	0.03559715330062504	0.048928191515906556
2013-01-01	IT	tb	0.04224371397137704	0.04904378112158914
2013-01-01	ES	md	0.06274525169356482	0.06857577883621045
2013-01-01	ES	mdhfi	0.06366476122757252	0.06843741960308432
2013-01-01	ES	mdhi	0.06489106823754745	0.0751982327420934
2013-01-01	ES	mdhifi	0.06660507808866249	0.07515587670747219
2013-01-01	ES	mdhim	0.06795205983367283	0.07682134863615388
2013-01-01	ES	mdhimfi	0.057066428900278486	0.06439265019486719
2013-01-01	ES	tb	0.06055316493121965	0.0653893325506149
2013-01-01	NL	md	0.05441319204480187	0.0631443874284244
2013-01-01	NL	mdhfi	0.041240636553111505	0.04724599588715755
2013-01-01	NL	mdhi	0.13338437112551688	0.15503232154279722
2013-01-01	NL	mdhifi	0.10530039714745223	0.1208733808458789
2013-01-01	NL	mdhim	0.10524267332593651	0.12102698387114456
2013-01-01	NL	mdhimfi	0.07521124990561173	0.08633431876809916
2013-01-01	NL	tb	0.044899927837183294	0.051782036549237444
2013-01-01	BE	md	0.027321073735984924	0.03843694410261718
2013-01-01	BE	mdhfi	0.025878545770493505	0.0347271455790042
2013-01-01	BE	mdhi	0.03255536654175356	0.05588604697974728
2013-01-01	BE	mdhifi	0.029775679165663392	0.04900842916075864
2013-01-01	BE	mdhim	0.03758242884329155	0.05854590627703316
2013-01-01	BE	mdhimfi	0.02657133790483606	0.0437343351320573
2013-01-01	BE	tb	0.02941782935702176	0.039393184698373725
2012-01-01	DE	md	0.0458735736326543	0.05483735484733233
2012-01-01	DE	mdhfi	0.043663880014278664	0.05147788670616259
2012-01-01	DE	mdhi	0.07798177097322756	0.1014482151238472
2012-01-01	DE	mdhifi	0.07363712437118838	0.09473165372957983
2012-01-01	DE	mdhim	0.07727986260833722	0.09508671091465101
2012-01-01	DE	mdhimfi	0.055205437014321616	0.07101991540121905
2012-01-01	DE	tb	0.048750048032720344	0.0563889203547904
2012-01-01	FR	md	0.03124177335515787	0.039951265850671644
2012-01-01	FR	mdhfi	0.0323980210973931	0.039090602963725386
2012-01-01	FR	mdhi	0.03641556390382732	0.07016398606171813
2012-01-01	FR	mdhifi	0.04139826093441832	0.06846875369981362
2012-01-01	FR	mdhim	0.032055144138463484	0.05088530946375885
2012-01-01	FR	mdhimfi	0.02251022409997679	0.03722975204370321
2012-01-01	FR	tb	0.03414128693148863	0.041611373756090926
2012-01-01	IT	md	0.041006722514512775	0.04832712555557813
2012-01-01	IT	mdhfi	0.03811910041520137	0.044285837968542754
2012-01-01	IT	mdhi	0.05054618627965859	0.06786882971279364
2012-01-01	IT	mdhifi	0.043933643663988414	0.0588585668074398
2012-01-01	IT	mdhim	0.05194689979434744	0.066094904374854
2012-01-01	IT	mdhimfi	0.03562468573850157	0.047726930221641616
2012-01-01	IT	tb	0.04169130841972297	0.047998718834004715
2012-01-01	ES	md	0.061148033320159986	0.067215947637754
2012-01-01	ES	mdhfi	0.06036407810438272	0.06558525381847821
2012-01-01	ES	mdhi	0.06736513695515661	0.07823997799996715
2012-01-01	ES	mdhifi	0.0661419386905473	0.07563363437804187
2012-01-01	ES	mdhim	0.0690102959144304	0.07836972374462244
2012-01-01	ES	mdhimfi	0.05666849580998804	0.0648007055387201
2012-01-01	ES	tb	0.05881511006199973	0.06386267789681588
2012-01-01	NL	md	0.05455186450909929	0.06298442227783646
2012-01-01	NL	mdhfi	0.03954217992774701	0.04518441030268786
2012-01-01	NL	mdhi	0.13838754126961875	0.15967548943592216
2012-01-01	NL	mdhifi	0.10541107426266264	0.12034850060816901
2012-01-01	NL	mdhim	0.10927276483913743	0.1247182968412157
2012-01-01	NL	mdhimfi	0.074825280188644	0.08542850304182047
2012-01-01	NL	tb	0.04561359682431326	0.0522862197054682
2012-01-01	BE	md	0.02822753356180386	0.039082740657284204
2012-01-01	BE	mdhfi	0.026205723196279104	0.03511800280198689
2012-01-01	BE	mdhi	0.03376698748760408	0.056119432315101435
2012-01-01	BE	mdhifi	0.029838520013107776	0.04884225476915833
2012-01-01	BE	mdhim	0.03872321388791929	0.05890348916187382
2012-01-01	BE	mdhimfi	0.0267592347817254	0.04380181597688526
2012-01-01	BE	tb	0.03056514736303012	0.040302004281492484
2011-01-01	DE	md	0.05150655287010116	0.060150232553785106
2011-01-01	DE	mdhfi	0.04886974674142965	0.05683694524504586
2011-01-01	DE	mdhi	0.08589286916826966	0.10821067251880806
2011-01-01	DE	mdhifi	0.08059405470279574	0.1017948181142331
2011-01-01	DE	mdhim	0.0869770288039972	0.10404682804022863
2011-01-01	DE	mdhimfi	0.06092677414162341	0.07695393804052364
2011-01-01	DE	tb	0.054878669891651737	0.0622270798212363
2011-01-01	FR	md	0.03557537909582761	0.04430687594016354
2011-01-01	FR	mdhfi	0.036225242387900085	0.042932066103385694
2011-01-01	FR	mdhi	0.053123705948586085	0.0869043625838218
2011-01-01	FR	mdhifi	0.05675455512723929	0.08380884958208208
2011-01-01	FR	mdhim	0.041453905420621065	0.06032179939847295
2011-01-01	FR	mdhimfi	0.030914741477073095	0.045651470838108284
2011-01-01	FR	tb	0.03808163336050645	0.04556839690092576
2011-01-01	IT	md	0.0480977185774946	0.0551866953894434
2011-01-01	IT	mdhfi	0.04507817712743157	0.05117322126064137
2011-01-01	IT	mdhi	0.06034325993386134	0.07694882368309623
2011-01-01	IT	mdhifi	0.053600204294192405	0.06820720684663321
2011-01-01	IT	mdhim	0.061761157212785356	0.07535475198494943
2011-01-01	IT	mdhimfi	0.043559690529815405	0.055430475709294394
2011-01-01	IT	tb	0.04850597178557639	0.054602203588168856
2011-01-01	ES	md	0.0606339695688744	0.06529116641830002
2011-01-01	ES	mdhfi	0.06026693290767713	0.06392009318993669
2011-01-01	ES	mdhi	0.0730032827270355	0.08166679993917489
2011-01-01	ES	mdhifi	0.07276801442585536	0.07968045424410451
2011-01-01	ES	mdhim	0.07232894650602745	0.0797445039864093
2011-01-01	ES	mdhimfi	0.061954615278699054	0.06783985968114384
2011-01-01	ES	tb	0.058032797927760296	0.06194198199116009
2011-01-01	NL	md	0.05713147488539176	0.06553401422653868
2011-01-01	NL	mdhfi	0.04361367119430914	0.04934903959558948
2011-01-01	NL	mdhi	0.14086800274887415	0.16248584276926056
2011-01-01	NL	mdhifi	0.11141530781868995	0.12694003607582535
2011-01-01	NL	mdhim	0.11088064764698095	0.12646416230116683
2011-01-01	NL	mdhimfi	0.07844863164168857	0.08937974795079799
2011-01-01	NL	tb	0.04821600606505514	0.05489871815602771
2011-01-01	BE	md	0.033535472133154984	0.04378671796696509
2011-01-01	BE	mdhfi	0.032844589046141646	0.0414219686611351
2011-01-01	BE	mdhi	0.04442280681691751	0.0654444094195771
2011-01-01	BE	mdhifi	0.0437171969420666	0.06193698283270487
2011-01-01	BE	mdhim	0.04853431969074912	0.06758171432134748
2011-01-01	BE	mdhimfi	0.03935292600400256	0.055753837684438486
2011-01-01	BE	tb	0.03551268686354797	0.044720648548762024
2010-01-01	DE	md	0.050334869766738434	0.05763228646116085
2010-01-01	DE	mdhfi	0.04781722754451213	0.05406165710447895
2010-01-01	DE	mdhi	0.08323946907377511	0.10183938858447404
2010-01-01	DE	mdhifi	0.07824714621960684	0.09463824296788304
2010-01-01	DE	mdhim	0.08440199368040598	0.09874607073585437
2010-01-01	DE	mdhimfi	0.059672768036294135	0.07217293144641033
2010-01-01	DE	tb	0.0534240409702293	0.05961629530722563
2010-01-01	FR	md	0.03852391864535631	0.04631426822217564
2010-01-01	FR	mdhfi	0.03815122209208858	0.04421099717070398
2010-01-01	FR	mdhi	0.06237282409171616	0.09235908329333654
2010-01-01	FR	mdhifi	0.062236268627016145	0.08654475369594482
2010-01-01	FR	mdhim	0.047947234837328226	0.06478097524296081
2010-01-01	FR	mdhimfi	0.034086658003328406	0.047400358123902496
2010-01-01	FR	tb	0.04121020662399311	0.047889664978102736
2010-01-01	IT	md	0.04730149061133363	0.05484053248015555
2010-01-01	IT	mdhfi	0.04445765859731013	0.051128847775897546
2010-01-01	IT	mdhi	0.05771715322188054	0.07525646379332561
2010-01-01	IT	mdhifi	0.05137174876169782	0.06725256421578134
2010-01-01	IT	mdhim	0.05967098340678279	0.07402351870587272
2010-01-01	IT	mdhimfi	0.041728942697777036	0.05462882744087763
2010-01-01	IT	tb	0.047900290568280796	0.05438750478526689
2010-01-01	ES	md	0.05696750238389567	0.061551117988788616
2010-01-01	ES	mdhfi	0.056067511972006295	0.05957504730386643
2010-01-01	ES	mdhi	0.07457282833592534	0.08344199715853655
2010-01-01	ES	mdhifi	0.07343274486296661	0.0803373724908765
2010-01-01	ES	mdhim	0.07215960249193397	0.07968262603179119
2010-01-01	ES	mdhimfi	0.06194996214393004	0.0677749033328392
2010-01-01	ES	tb	0.054531820839885385	0.05841643173889094
2010-01-01	NL	md	0.054673819704096856	0.06327528260696373
2010-01-01	NL	mdhfi	0.04115158250316776	0.04707684268002933
2010-01-01	NL	mdhi	0.13972047014115443	0.1623255946549169
2010-01-01	NL	mdhifi	0.10983925634186657	0.1262767874204964
2010-01-01	NL	mdhim	0.10982412522120413	0.12601187504458747
2010-01-01	NL	mdhimfi	0.076703018411404	0.08818168542857677
2010-01-01	NL	tb	0.047205881018397546	0.05409235960443007
2010-01-01	BE	md	0.034588574201467596	0.04390948892104443
2010-01-01	BE	mdhfi	0.032430981905930155	0.04020425565735978
2010-01-01	BE	mdhi	0.04723704932765493	0.06624231050511388
2010-01-01	BE	mdhifi	0.043575710108218806	0.05999806255408634
2010-01-01	BE	mdhim	0.05106348968469065	0.06833261181088408
2010-01-01	BE	mdhimfi	0.03934020714441308	0.054166328059356804
2010-01-01	BE	tb	0.03667662931210964	0.045054501040986926
2009-01-01	DE	md	0.043496378118996266	0.049919112300620246
2009-01-01	DE	mdhfi	0.041385759192568976	0.04683394086392254
2009-01-01	DE	mdhi	0.06366219305274708	0.07995793870814441
2009-01-01	DE	mdhifi	0.05913337528879806	0.07336542107226252
2009-01-01	DE	mdhim	0.07047380348015754	0.08304590080801086
2009-01-01	DE	mdhimfi	0.04511774474699956	0.055976550045191295
2009-01-01	DE	tb	0.04828921350270147	0.053742939020995056
2009-01-01	FR	md	0.0393799510160088	0.0451676200152769
2009-01-01	FR	mdhfi	0.04027444728457182	0.04500521348047839
2009-01-01	FR	mdhi	0.06078056731883369	0.08281105343992766
2009-01-01	FR	mdhifi	0.06555307915397217	0.08431991096089923
2009-01-01	FR	mdhim	0.048048755026445344	0.06052806601007331
2009-01-01	FR	mdhimfi	0.03623443319521425	0.04660779051374253
2009-01-01	FR	tb	0.0424292549402263	0.0473996406727372
